state,year,quarter,year_quarter,transaction_type,"transaction_count
",transaction_amount,avg_transaction_value,Region
Andhra Pradesh,2020,Q1,2020-Q1,Recharge & bill payments,30449644,10813530777.97,355,Southern Region
Andhra Pradesh,2020,Q1,2020-Q1,Financial Services,75238,43739133.17,581,Southern Region
Andhra Pradesh,2020,Q1,2020-Q1,Others,292310,188228538.37,644,Southern Region
Andhra Pradesh,2020,Q2,2020-Q2,Peer-to-peer payments,73609921,262731724130.79,3569,Southern Region
Andhra Pradesh,2020,Q2,2020-Q2,Recharge & bill payments,41013987,16991006436.57,414,Southern Region
Andhra Pradesh,2020,Q2,2020-Q2,Merchant payments,29976765,22625596525.44,755,Southern Region
Andhra Pradesh,2020,Q2,2020-Q2,Financial Services,140941,145274999.16,1031,Southern Region
Andhra Pradesh,2020,Q2,2020-Q2,Others,176241,90087654.60,511,Southern Region
Andhra Pradesh,2020,Q3,2020-Q3,Peer-to-peer payments,106791894,406461788252.32,3806,Southern Region
Andhra Pradesh,2020,Q3,2020-Q3,Merchant payments,54055557,40739580213.86,754,Southern Region
Andhra Pradesh,2020,Q3,2020-Q3,Recharge & bill payments,43500067,19475104674.83,448,Southern Region
Andhra Pradesh,2020,Q3,2020-Q3,Financial Services,243088,256074924.72,1053,Southern Region
Andhra Pradesh,2020,Q3,2020-Q3,Others,312329,151582519.18,485,Southern Region
Andhra Pradesh,2020,Q4,2020-Q4,Peer-to-peer payments,152003791,566639138543.77,3728,Southern Region
Andhra Pradesh,2020,Q4,2020-Q4,Merchant payments,86581460,66654048149.95,770,Southern Region
Andhra Pradesh,2020,Q4,2020-Q4,Recharge & bill payments,46810304,20936337211.56,447,Southern Region
Andhra Pradesh,2020,Q4,2020-Q4,Financial Services,265470,305168772.46,1150,Southern Region
Andhra Pradesh,2020,Q4,2020-Q4,Others,457527,306853355.59,671,Southern Region
Andhra Pradesh,2021,Q1,2021-Q1,Peer-to-peer payments,149313738,580542193013.00,3888,Southern Region
Andhra Pradesh,2021,Q1,2021-Q1,Merchant payments,97920281,70813192713.43,723,Southern Region
Andhra Pradesh,2021,Q1,2021-Q1,Recharge & bill payments,41940689,20546424964.14,490,Southern Region
Andhra Pradesh,2021,Q1,2021-Q1,Financial Services,225355,270313028.48,1199,Southern Region
Andhra Pradesh,2021,Q1,2021-Q1,Others,347907,272546457.55,783,Southern Region
Andhra Pradesh,2021,Q2,2021-Q2,Peer-to-peer payments,189614879,737004484057.44,3887,Southern Region
Andhra Pradesh,2021,Q2,2021-Q2,Merchant payments,112875274,88512429436.91,784,Southern Region
Andhra Pradesh,2021,Q2,2021-Q2,Recharge & bill payments,49626902,24646800345.11,497,Southern Region
Andhra Pradesh,2021,Q2,2021-Q2,Financial Services,243237,265483044.40,1091,Southern Region
Andhra Pradesh,2021,Q2,2021-Q2,Others,406842,308302224.39,758,Southern Region
Andhra Pradesh,2021,Q3,2021-Q3,Peer-to-peer payments,221280317,837841124664.31,3786,Southern Region
Andhra Pradesh,2021,Q3,2021-Q3,Merchant payments,158290953,118164377968.17,747,Southern Region
Andhra Pradesh,2021,Q3,2021-Q3,Recharge & bill payments,51702350,27511344958.24,532,Southern Region
Andhra Pradesh,2021,Q3,2021-Q3,Financial Services,211171,297239697.83,1408,Southern Region
Andhra Pradesh,2021,Q3,2021-Q3,Others,547759,403948275.57,737,Southern Region
Andhra Pradesh,2021,Q4,2021-Q4,Peer-to-peer payments,262006450,971269765249.13,3707,Southern Region
Andhra Pradesh,2021,Q4,2021-Q4,Merchant payments,207538904,152883933596.54,737,Southern Region
Andhra Pradesh,2021,Q4,2021-Q4,Recharge & bill payments,51762842,31232784713.99,603,Southern Region
